nama_normal,fakultas,program,deskripsi,tahun,nama_topik,jumlah_topik,terkait_sustainability
Conflict of Laws,Fakultas Hukum,International Undergraduate Program,"The course of Conflict
of Laws (COL) is an obligatory course. 
The course is delivered in fifth...",,,0,False
Etika Pancasila,Fakultas Filsafat,,"Etika Pancasila merupakan kajian ilmiah dalam bidang moralitas terkait dengan Pancasila, menguji ...",,,0,False
Citizenship Education,Fakultas Filsafat,,Citizenship education is designed as a subject of study that can develop the student’s capability...,,,0,False
Bioetika,Fakultas Filsafat,,Bioetika adalah mata kuliah pilihan yang dapat diambil oleh mahasiswa setelah menyelesaikan mata ...,,,0,False
BIMBINGAN PENELITIAN DAN PUBLIKASI,Fakultas Filsafat,,"Ruang  ini digunakan untuk mengelola dan memberikan  informasi  terkait perencanaan, pengelolaan,...",,,0,False
BAHASA INGGRIS FILSAFAT,Fakultas Filsafat,,WELCOME TO THIS COURSE! Mata  kuliah  Bahasa  Inggris  Filsafat  adalah mata kuliah yang memberi ...,,,0,False
FILSAFAT DAN LOGIKA,Fakultas Filsafat,,Matakuliah Filsafat dan Logika yang diberikan akan memperkenalkan pemikiran filsafat  secara umum...,,,0,False
Budaya Indonesia,Fakultas Filsafat,,Mata Kuliah Kebudayaan Indonesia merupakan mata kuliah yang harus diambil oleh mahasiswa filsafat...,,,0,False
Intermediate Accounting II,Fakultas Ekonomika dan Bisnis,S1 IUP - Semester Gasal 2026/2027,Intermediate Accounting II builds on Intermediate Accounting I and develops students’ ability to ...,,,0,False
Praktikum Struktur dan Biologi Fungsional Hewan (4,Fakultas Biologi,Program Magister Biologi,Praktikum untuk mahasiswa Pascarsarjana S2 Fakultas Biologi UGM. Struktur dan Biologi Fungsional ...,,,0,False
MKLD Rekayasa Protein Farmasetik 2025/2026,Fakultas Farmasi,,"Mata kuliah ini membahas tentang pengembangan produk protein sebagai obat makromolekul
(protein ...",2025.0,,0,False
Drug Delivery Systems - Undergraduate 2026,Fakultas Farmasi,,"Mata kuliah Sistem Penghantaran Obat secara umum
membahas aspek-aspek dalam proses penghantaran ...",2026.0,,0,False
Teknik Penggudangan 2026,Sekolah Vokasi,Sekolah Vokasi,Are you ready to dive into the world of warehouse management and take control of logistics like a...,2026.0,,0,False
Keterampilan Berbahasa Jepang,Sekolah Vokasi,Sekolah Vokasi,Mata kuliah ini merupakan mata kuliah wajib bagi siswa semester III yang telah mendapatkan materi...,,,0,False
English for Biology,Fakultas Biologi,Program Sarjana Biologi,This course is designed for first-year undergraduate students of the Faculty of Biology. It is a ...,,,0,False
Animal Structure and Development,Fakultas Biologi,IUP Biology,The Animal Structure and Development course provides an understanding of body patterns and symmet...,,,0,False
Animal Physiology (3,Fakultas Biologi,IUP Biology,Animal physiology is biological sub-discipline that tries to understand how animals function in ...,,,0,False
Big Data Analytics - Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana,"Mata kuliah Big Data Analytic membahas
definisi, karakteristik, dan pemanfaatan big data dalam ...",,,0,False
Alat dan Mesin Pengolahan,Fakultas Teknologi Pertanian,,"Membahas tentang spesifikasi dan prinsip
kerja peralatan dan mesin pengolahan untuk pangan dan ...",,,0,False
Farmakologi II_Gasal.2026/2027,Fakultas Farmasi,,"Farmakologi II berisi pembahasan mengenai interaksi obat dan reseptor sebagai target aksi obat, ...",2026.0,,0,False
Virologi dan Ilmu Penyakit Viral Veteriner-Pekerti 2026,Fakultas Kedokteran Hewan,,"Mata kuliah ini mempelajari tentang virus dan perbedaannya dengan mikroorganisme lain, struktur ...",2026.0,,0,False
One Health Summer Course #2: “Transdisciplinary One Health Approaches to Emerging and Re-Emerging Diseases: Strengthening Integrated Surveillance Systems”,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,This One Health Summer Course explores transdisciplinary approaches to emerging and re-emerging ...,,,0,False
Sosioentrepreneurship Veteriner [Pekerti Batch 3],Fakultas Kedokteran Hewan,,Mata kuliah sosio- entrepreneurship veteriner adalah mata kuliah pilihan di Fakultas Kedokteran ...,,,0,False
KEPANITERAAN ILMU PENYAKIT MULUT 2025 - 2026,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,"Kegiatan Kepaniteraan Oral Medicine atau Ilmu Penyakit Mulut meliputi pendidikan, pelatihan dan ...",2025.0,,0,False
Ekonomi Politik Digital dan Inovasi Disruptif 2025,Sekolah Pascasarjana,Sekolah Pascasarjana,"Mata kuliah ini merupakan mata kuliah wajib bagi mahasiswa Program Studi S2 Ketahanan Nasional, ...",2025.0,,0,False
Mathematics (IUP,Fakultas Biologi,IUP Biology,"Course contents: Real number systems: properties of real numbers, coordinate systems, relations ...",,,0,False
Sistematika Mikrobia (2) B,Fakultas Biologi,Program Sarjana Biologi,Sistematika Mikrobia merupakan ilmu yang mempelajari keanekaragaman mikrobia dan hubungan antar ...,,,0,False
Genetika Manusia,Fakultas Biologi,Program Sarjana Biologi,"Mata Kuliah ini memberikan kemampuan pada mahasiswa, baik verbal maupun tulisan, untuk memahami ...",,,0,False
"Analisis dan Pemodelan Citra Digital (S2 Penginderaan Jauh, Fak. Geografi",Fakultas Geografi,,MOOC ini dibuat untuk mendukung perkuliahan daring bagi mahasiswa S2 Penginderaan Jauh Fakultas ...,,,0,False
[PEKERTI 2026] Keperawatan Medikal Bedah (KMB) Lanjut III,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Keperawatan Medikal Bedah Lanjut 3 merupakan mata kuliah wajib yang berfokus pada integrasi dan ...,2026.0,,0,False
Matematika (Mathematics) - IUP,Fakultas Biologi,IUP Biology,"Course contents: Real number systems: properties of real numbers, coordinate systems, relations ...",,,0,False
Anatomi Tumbuhan,Fakultas Biologi,Program Sarjana Biologi,"Mata kuliah ini mempelajari struktur mikroskopis sel, jaringan, dan organ tumbuhan Angiospermae ...",,,0,False
Paleontologi Reguler,Fakultas Biologi,Program Sarjana Biologi,"Matakuliah ini mempelajari beberapa disiplin ilmu, seperti geologi, anatomi hewan dan
manusia, ...",,,0,False
Bahasa Bali S1 FAKULTAS ILMU BUDAYA,Fakultas Ilmu Budaya,,Mata kuliah Bahasa Bali merupakan mata kuliah pilihan di Prodi Sastra Jawa Fakultas Ilmu Budaya ...,,,0,False
Introduction to Cellular and Molecular Biotechnology - PEKERTI 2026,Fakultas Kedokteran Hewan,,"This course introduces the fundamental principles of
cellular and molecular biotechnology with ...",2026.0,,0,False
Strategi Mitigasi dan Adaptasi Perubahan Iklim,Fakultas Kehutanan,,"Modul
terbuka daring kredensial mikro “Strategi Mitigasi dan Adaptasi Perubahan
Iklim” adalah ...",,Perubahan Iklim,1,True
Praktikum Algoritma dan Struktur Data CSB,Fakultas Matematika dan Ilmu Pengetahuan Alam,,"●This course serves as a complement to the Algorithm and Data Structures course, with a primary ...",,,0,False
Agama dan Budaya FIR 4401,Fakultas Filsafat,,"Mata K uliah A gama
dan B udaya
merupakan salah satu mata kuliah dalam fokus studi religi dan ...",,,0,False
Praktikum Algoritma dan Struktur Data KOM C,Fakultas Matematika dan Ilmu Pengetahuan Alam,,"●This course serves as a complement to the Algorithm and Data Structures course, with a primary ...",,,0,False
Analisis masalah,Fakultas Teknik,,"Modul ini membahas konsep, metode, dan teknik dalam mengidentifikasi potensi permasalahan pada ...",,,0,False
Ilmu Sosial Perilaku Farmasi 2026,Fakultas Farmasi,,"Ilmu Sosial dan Perilaku Farmasi membicarakan pokok bahasan mencakup konsep, metode, dan teori ...",2026.0,,0,False
ETIKA (FIF 201212,Fakultas Filsafat,,Matakuliah ini ditujukan pada mahasiswa minimal semester 2. Membahas mengenai pemeriksaan yang ...,2012.0,,0,False
Struktur dan Perkembangan Tumbuhan (5,Fakultas Biologi,Program Sarjana Biologi,"Matakuliah ini mempelajari teori dan konsep terkait dengan struktur dan perkembangan tumbuhan, ...",,,0,False
Kimia Minyak Atsiri,Fakultas Matematika dan Ilmu Pengetahuan Alam,,Mata kuliah Kimia Minyak Atsiri menjelaskan aspek-aspek minyak atsiri yang penting dan menarik ...,,,0,False
Biologi Hutan A Gasal 2024/2025,Fakultas Kehutanan,,Mata Kuliah Biologi Hutan (KTU22102) merupakan mata kuliah wajib mahasiswa Fakultas Kehutanan. ...,2024.0,Pengelolaan Sumber Daya Alam,1,True
Profil Sensoris - PEKERTI 2024,Fakultas Teknologi Pertanian,,Mata kuliah Profil Sensoris memberikan pemahaman menyeluruh tentang karakteristik sensorik dan ...,2024.0,,0,False
Praktikum Kultur Sel In Vitro Hewan (1,Fakultas Biologi,Program Magister Biologi,Praktikum Kultur Sel In Vitro Hewan (BIMB202241) Laboratorium Fisiologi Hewan Fakultas Biologi ...,,,0,False
Civil Procedural Law,Fakultas Hukum,International Undergraduate Program,"This course offers topics that relate with
disputes that may arise in people’ daily life. Law ...",,,0,False
Sistematika Hewan Reguler,Fakultas Biologi,Program Sarjana Biologi,"Animal
Systematics is a compulsory course on animal diversity, especially in
Indonesia. This ...",,,0,False
"Bedah Periodontal Rekonstruksi, Plastik & Estetik",Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia,"course ini berisikan materi Bedah Periodontal Rekonstruksi, Plastik & Estetik yang diampu oleh ...",,,0,False
Jaringan Komputer 1 - TRI BB - 2025,Sekolah Vokasi,Sekolah Vokasi,"Kuliah Jaringan Komputer 1 - Angkatan 2025 kelas BB Program Studi Teknologi Rekayasa Internet, ...",2025.0,,0,False
[PEKERTI 2026] Parasitologi Kedokteran,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Kursus ini menyajikan materi edukasi medis mengenai berbagai jenis parasit penyebab gatal pada ...,2026.0,,0,False
PEKERTI (Pemeriksaan Okuloplasti,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,"Setelah mengikuti kursus ini, peseta dirapkan mampu melakukan pemeriksaan  kelopak mata secara ...",,,0,False
[Pekerti 2026] Keratitis Infeksius: Panduan Triase Diagnostik,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Selamat datang pada kuliah Penyakit Mata Luar (Infeksi dan Imunologi) . Mata kuliah ini diampu ...,2026.0,,0,False
Virologi (8,Fakultas Biologi,Program Sarjana Biologi,Virologi merupakan matakuliah pilihan Program Sarjana di Fakultas Biologi UGM yang mempelajari ...,,,0,False
Architecture and Technology Big Data,Fakultas Matematika dan Ilmu Pengetahuan Alam,,This course introduces the technologies and algorithms used to process and analyze large-scale ...,,,0,False
Ekologi Bentanglahan,Fakultas Geografi,,"Landscape ecology is best distinguished by its
focus on: 1) spatial heterogeneity, 2) broader ...",,Keanekaragaman Hayati,1,True
Contract Law (IUP,Fakultas Hukum,International Undergraduate Program,This course is a combination of  knowledge on the theory of contract law and skill of contract ...,,,0,False
[PEKERTI] Aljabar Linear Elementer 2026,Fakultas Matematika dan Ilmu Pengetahuan Alam,,"Mata kuliah Aljabar Linear Elementer merupakan mata
kuliah wajib yang ditempuh oleh mahasiswa ...",2026.0,,0,False
Architecture and Technology Big Data - ILKOM,Fakultas Matematika dan Ilmu Pengetahuan Alam,,This course introduces the technologies and algorithms used to process and analyze large-scale ...,,,0,False
English for Academic Purposes (Agriculture,Fakultas Pertanian,,English for Academic Purposes (EAP) course provides language instruction for academic study in ...,,,0,False
Bahan Pakan & Formulasi Ransum,Fakultas Peternakan,,Mata kuliah Bahan Pakan dan Formulasi Ransum (BPFR) merupakan mata kuliah wajib yang mendasari ...,,,0,False
Praktikum Statistika MPP41 2024/2025 Gasal,Sekolah Vokasi,Sekolah Vokasi,"Mata
kuliah ini merupakan aplikasi lanjut dari teori yang telah didapatkan pada mata
kuliah ...",2024.0,,0,False
Pengembangan Pusat Data (Data Center Developmet,Fakultas Matematika dan Ilmu Pengetahuan Alam,,Mata kuliah ini memberikan pengetahuan landscape Data Center pada infrastruktur menjadi fokus ...,,,0,False
Dasar-Dasar Konservasi Sumber Daya Hutan Sem 1 2020,Fakultas Kehutanan,,Matakuliah ini memberikan dasar pengetahuan tentang konservasi sumberdaya hutan yang mencakup ...,2020.0,Konservasi Lingkungan; Pengelolaan Sumber Daya Alam,2,True
Anatomi dan Identifikasi Kayu,Fakultas Kehutanan,,"Mata kuliah yang berisi tentang struktur kayu, anatomi dan penggunaannya untuk identifikasi kayu.",,,0,False
Pakan Fungsional,Fakultas Peternakan,,Mata kuliah ini membahas peran dan aplikasi pakan fungsional dalam meningkatkan kesehatan dan ...,,,0,False
Struktur dan Fungsi Serangga [ fisiologi serangga ],Fakultas Biologi,Program Sarjana Biologi,"Matakuliah ini mempelajari proses fisiologi dan pengelolaan biologi serangga, termasuk sistem ...",,,0,False
[GameHerbal] Training Bersertifikat via App - Official App.,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Aplikasi Game Training BerSERTIFIKAT Latihan soal training bersertifikat yang dikemas menjadi ...,,,0,False
Ekologi Perairan Gasal 2024/2025,Fakultas Kehutanan,,Mata Kuliah Ekologi Perairan adalah mata kuliah pilihan untuk mahasiwa Fakultas Kehutanan UGM ...,2024.0,Keanekaragaman Hayati; Pengelolaan Sumber Daya Alam,2,True
HAMA PENYAKIT HUTAN TROPIS,Fakultas Kehutanan,,"Mata kuliah ""Hama dan Penyakit Hutan Tropis""  membahas konsep dasar tentang hama dan penyakit ...",,Pengelolaan Sumber Daya Alam,1,True
EGPP _ TPHP 212107,Fakultas Teknologi Pertanian,,"Mata kuliah ini mempelajari tentang perubahan zat gizi (karbohidrat, lemak, protein, vitamin, ...",,,0,False
Ekofisiologi Hewan (7,Fakultas Biologi,Program Sarjana Biologi,Ekofisiologi hewan merupakan mata kuliah yang menggabungkan fisiologi hewan dan ekologi. Mata ...,,Keanekaragaman Hayati,1,True
Struktur dan Produk Jaringan Sekretori Tumbuhan,Fakultas Biologi,Program Sarjana Biologi,"Struktur dan produk sekretori
tumbuhan merupakan mata kuliah yang mempelajari berbagai macam ...",,,0,False
[PEKERTI] Comprehensive Assesment and Diagnostic Tool in Glaucoma,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Kelas ini mengajarkan penggunaan beberapa modalitas untuk pemeriksaan glaukoma. Beberapa yang ...,,,0,False
Praktikum Imunobiologi (8,Fakultas Biologi,Program Sarjana Biologi,"Praktikum Imunobiologi (BISB211528) bertujuan meningkatkan
pemahaman praktik mahasiswa dalam ...",,,0,False
Basis Data - Manajemen Informasi Kesehatan,Sekolah Vokasi,Sekolah Vokasi,Learning Management System untuk mendukung Mata Kuliah Basis Data di Program Studi Manajemen ...,,,0,False
Praktikum Imunologi Seluler dan Molekuler (0,Fakultas Biologi,Program Magister Biologi,Praktikum Imunologi Seluler dan Molekuler (BIMB202110) Laboratorium Fisiologi Hewan Fakultas ...,,,0,False
Kimia Farmasi Dasar 2026,Fakultas Farmasi,,Mata Kuliah Kimia Farmasi Dasar : berisi bahasan tentang teori dasar Ilmu Kimia Farmasi yang ...,2026.0,,0,False
Animal Systematics IUP,Fakultas Biologi,IUP Biology,"Animal Systematics is a compulsory course on animal diversity, especially in Indonesia. This ...",,,0,False
Herpetologi,Fakultas Biologi,Program Sarjana Biologi,"Herpetologi mempelajari tentang hewan-hewan yang termasuk dalam Kelas Amphibia dan
Reptilia ...",,,0,False
Kuliah Endokrinologi (9,Fakultas Biologi,Program Sarjana Biologi,"Mata kuliah ini mempelajari sejarah singkat endokrinologi, metode endokrinologi, klasifikasi ...",,,0,False
Biosistematika Hewan,Fakultas Biologi,Program Magister Biologi,"Mata Kuliah ini mempelajari tentang sejarah
biosistematik hewan, perkembangan biosistematik ...",,,0,False
Blok Mental Health TA 2025-2026,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Blok mental health adalah blok pertama yang diberikan pada mahasiswa semester keempat (tahun ...,2025.0,,0,False
Antropologi Teknologi,Fakultas Ilmu Budaya,,"Kuliah ini didisain untuk memberikan gambaran
tentang hubungan antara fenomena perkembangan ...",,,0,False
Arkeologi Industri,Fakultas Ilmu Budaya,,"Pengetahuan tentang ragam tinggalan industri di
Indonesia dalam kajian arkeologis, meliputi ...",,,0,False
5 Statistika Geospasial,Fakultas Geografi,,"Mata kuliah Statistika Geospasial (GEKP222125), Program Studi S1 Kartografi dan Penginderaan ...",,,0,False
GEO 3001 Kewirausahaan,Fakultas Geografi,,"Mata
kuliah ini akan mengajarkan kepada mahasiswa dasar-dasar kewirausahaan dan
memberikan ...",,,0,False
PEKERTI - PATOLOGI KLINIK VETERINER,Fakultas Kedokteran Hewan,,Mata kuliah ini diselenggarakan untuk membekali mahasiswa dengan materi Hematologi dan Kimia ...,,,0,False
Praktik IoT,Sekolah Vokasi,Sekolah Vokasi,"Praktik pembuatan IoT mempelajari
tentang ketrampilan untuk memahami konsep kesisteman IoT, ...",,,0,False
Biologi Sel dan Molekuler (BSM) Magister,Fakultas Biologi,Program Magister Biologi,"Matakuliah ini menjelaskan tentang evolusi sel, konsep dasar sel, baik sel prokariota maupun ...",,,0,False
Agama Islam Kontekstual,Fakultas Filsafat,,"Mata Kuliah Agama
Islam Kontekstual adalah mata kuliah wajib kategori Mata
Kuliah Perilaku ...",,,0,False
Bahasa Arab Amiyyah اللهجة العامية,Sekolah Vokasi,Sekolah Vokasi,هل ترغب في اكتشاف أسرار اللغة العربية واللهجات السعودية؟ تقدم لك هذه المادة فرصة فريدة لتعلم ...,,,0,False
Ushul Fiqh,Sekolah Vokasi,Sekolah Vokasi,"Curious how Islamic law is understood, explained, and applied? Join Usul Fiqh to explore the ...",,,0,False
Geohidrologi,Fakultas Geografi,,"Mata Kuliah Geohidrologi (GEL
2206) adalah mata kuliah lanjutan dari hidrologi dasar. Mata ...",,,0,False
Ekonomi Pembangunan Pedesaan,Fakultas Peternakan,,"Deskripsi Mata Kuliah : Tujuan dari mata kuliah ini adalah untuk mendiskusikan
teori-teori ...",,,0,False
PIONIR KESATRIA 2026,Fakultas Teknik,,Selamat datang Para Kesatria Muda ! Kami sangat senang menyambut kalian sebagai bagian dari ...,2026.0,,0,False
FISIOLOGI TUMBUHAN,Fakultas Pertanian,,"Fisiologi Tumbuhan merupakan mata kuliah yang
diwajibkan bagi mahasiswa Fakultas Pertanian ...",,,0,False
Filsafat Barat Pra,Fakultas Filsafat,,"Mata
kuliah ini  memberi dasar bagi mahasiswa
Fakultas Filsafat untuk mengenal para tokoh ...",,,0,False
Penyakit Vitreoretina,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,"Mata
kuliah/topik ini membekali mahasiswa pengetahuan dan keterampilan klinis dasar
untuk ...",,,0,False
Praktikum Endokrinologi (9,Fakultas Biologi,Program Sarjana Biologi,Praktikum Endokrinogi (BISB211529) bertujuan meningkatkan pemahaman praktik mahasiswa dalam ...,,,0,False
Penerapan Geographic Information Systems (GIS) dalam Investigasi Epidemiologi Veteriner - Pekerti 2026,Fakultas Kedokteran Hewan,,Mata kuliah ini memperkenalkan prinsip dan aplikasi epidemiologi veteriner serta penggunaan ...,2026.0,,0,False
Keuangan Syariah,Sekolah Pascasarjana,Sekolah Pascasarjana,"Mata kuliah Keuangan Syariah merupakan mata kuliah
pilihan konsentrasi bagi mahasiswa yang ...",,,0,False
