nama_normal,deskripsi,fakultas,program
Dasar - Dasar Terapi Bedah Periodontal,Bedah Dasar Periodonsia merupakan salah satu mata kuliah di program studi pendidikan dokter gigi ...,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia
Kepaniteraan Periodonsia Klinik FKG UGM,"Mata
kuliah periodonsia klinik merupakah Mata Kuliah wajib di program studi profesi
dokter gigi...",Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
The 1st Gadjah Mada Veterinary Medicine International Summer Course: GUARDIANS OF FOREST WILDLIFE,"The 1st Gadjah Mada Veterinary Medicine International Summer Course, titled “Guardians of Forest ...",Fakultas Kedokteran Hewan,
Bahasa Ibrani,"Mata kuliah
pilihan program studi yang bertujuan untuk memberikan pengetahuan menyangkut
bahasa...",Fakultas Ilmu Budaya,
IUPiCs - Human and Cultural Communications,This course is one of the basic courses in the study program. This course aims to equip students ...,Fakultas Ilmu Sosial dan Politik,Departemen Ilmu Komunikasi (DIKOM) - IUP
STRUKTUR DAN PERKEMBANGAN HEWAN,"Mata kuliah Struktur dan Perkembangan Hewan memberikan pemahaman tentang pola dan simetri tubuh, ...",Fakultas Biologi,Program Sarjana Biologi
PRAKTIKUM BIOLOGI UMUM,Praktikum Biologi Umum merupakan mata kuliah wajib yang memiliki bobot 1 SKS. Praktikum ini wajib...,Fakultas Biologi,Program Sarjana Biologi
Hukum Ekonomi Internasional,"Mata Kuliah Hukum Ekonomi Internasional diajarkan kepada mahasiswa
fakultas hukum program Strata...",Fakultas Hukum,International Undergraduate Program
Mikrobiologi Industri (6,"Mikrobiologi Industri adalah mata kuliah pilihan
yang mempelajari prinsip dasar-dasar fermentasi...",Fakultas Biologi,Program Sarjana Biologi
GEL 3210 Pengelolaan DAS,Matakuliah Pengelolaan DAS (GEL 3210) merupakan matakuliah pilihan bagi mahasiswa semester lanjut...,Fakultas Geografi,
Ujian Kenaikan Tingkat Spesialis Penyakit Mulut,Course ini merupakan course yang dibuat untuk mempersiapkan kenaikan tingkat para residen Program...,Fakultas Kedokteran Gigi,Program Spesialis Penyakit Mulut
Conflict of Laws,"The course of Conflict
of Laws (COL) is an obligatory course. 
The course is delivered in fifth...",Fakultas Hukum,International Undergraduate Program
Etika Pancasila,"Etika Pancasila merupakan kajian ilmiah dalam bidang moralitas terkait dengan Pancasila, menguji ...",Fakultas Filsafat,
Citizenship Education,Citizenship education is designed as a subject of study that can develop the student’s capability...,Fakultas Filsafat,
Bioetika,Bioetika adalah mata kuliah pilihan yang dapat diambil oleh mahasiswa setelah menyelesaikan mata ...,Fakultas Filsafat,
BIMBINGAN PENELITIAN DAN PUBLIKASI,"Ruang  ini digunakan untuk mengelola dan memberikan  informasi  terkait perencanaan, pengelolaan,...",Fakultas Filsafat,
BAHASA INGGRIS FILSAFAT,WELCOME TO THIS COURSE! Mata  kuliah  Bahasa  Inggris  Filsafat  adalah mata kuliah yang memberi ...,Fakultas Filsafat,
FILSAFAT DAN LOGIKA,Matakuliah Filsafat dan Logika yang diberikan akan memperkenalkan pemikiran filsafat  secara umum...,Fakultas Filsafat,
Budaya Indonesia,Mata Kuliah Kebudayaan Indonesia merupakan mata kuliah yang harus diambil oleh mahasiswa filsafat...,Fakultas Filsafat,
Intermediate Accounting II,Intermediate Accounting II builds on Intermediate Accounting I and develops students’ ability to ...,Fakultas Ekonomika dan Bisnis,S1 IUP - Semester Gasal 2026/2027
Praktikum Struktur dan Biologi Fungsional Hewan (4,Praktikum untuk mahasiswa Pascarsarjana S2 Fakultas Biologi UGM. Struktur dan Biologi Fungsional ...,Fakultas Biologi,Program Magister Biologi
MKLD Rekayasa Protein Farmasetik 2025/2026,"Mata kuliah ini membahas tentang pengembangan produk protein sebagai obat makromolekul
(protein ...",Fakultas Farmasi,
Drug Delivery Systems - Undergraduate 2026,"Mata kuliah Sistem Penghantaran Obat secara umum
membahas aspek-aspek dalam proses penghantaran ...",Fakultas Farmasi,
Teknik Penggudangan 2026,Are you ready to dive into the world of warehouse management and take control of logistics like a...,Sekolah Vokasi,Sekolah Vokasi
Keterampilan Berbahasa Jepang,Mata kuliah ini merupakan mata kuliah wajib bagi siswa semester III yang telah mendapatkan materi...,Sekolah Vokasi,Sekolah Vokasi
English for Biology,This course is designed for first-year undergraduate students of the Faculty of Biology. It is a ...,Fakultas Biologi,Program Sarjana Biologi
Animal Structure and Development,The Animal Structure and Development course provides an understanding of body patterns and symmet...,Fakultas Biologi,IUP Biology
Animal Physiology (3,Animal physiology is biological sub-discipline that tries to understand how animals function in ...,Fakultas Biologi,IUP Biology
Big Data Analytics - Pascasarjana,"Mata kuliah Big Data Analytic membahas
definisi, karakteristik, dan pemanfaatan big data dalam ...",Sekolah Pascasarjana,Sekolah Pascasarjana
Alat dan Mesin Pengolahan,"Membahas tentang spesifikasi dan prinsip
kerja peralatan dan mesin pengolahan untuk pangan dan ...",Fakultas Teknologi Pertanian,
Farmakologi II_Gasal.2026/2027,"Farmakologi II berisi pembahasan mengenai interaksi obat dan reseptor sebagai target aksi obat, ...",Fakultas Farmasi,
Virologi dan Ilmu Penyakit Viral Veteriner-Pekerti 2026,"Mata kuliah ini mempelajari tentang virus dan perbedaannya dengan mikroorganisme lain, struktur ...",Fakultas Kedokteran Hewan,
One Health Summer Course #2: “Transdisciplinary One Health Approaches to Emerging and Re-Emerging Diseases: Strengthening Integrated Surveillance Systems”,This One Health Summer Course explores transdisciplinary approaches to emerging and re-emerging ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Sosioentrepreneurship Veteriner [Pekerti Batch 3],Mata kuliah sosio- entrepreneurship veteriner adalah mata kuliah pilihan di Fakultas Kedokteran ...,Fakultas Kedokteran Hewan,
KEPANITERAAN ILMU PENYAKIT MULUT 2025 - 2026,"Kegiatan Kepaniteraan Oral Medicine atau Ilmu Penyakit Mulut meliputi pendidikan, pelatihan dan ...",Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
Ekonomi Politik Digital dan Inovasi Disruptif 2025,"Mata kuliah ini merupakan mata kuliah wajib bagi mahasiswa Program Studi S2 Ketahanan Nasional, ...",Sekolah Pascasarjana,Sekolah Pascasarjana
Mathematics (IUP,"Course contents: Real number systems: properties of real numbers, coordinate systems, relations ...",Fakultas Biologi,IUP Biology
Sistematika Mikrobia (2) B,Sistematika Mikrobia merupakan ilmu yang mempelajari keanekaragaman mikrobia dan hubungan antar ...,Fakultas Biologi,Program Sarjana Biologi
Genetika Manusia,"Mata Kuliah ini memberikan kemampuan pada mahasiswa, baik verbal maupun tulisan, untuk memahami ...",Fakultas Biologi,Program Sarjana Biologi
"Analisis dan Pemodelan Citra Digital (S2 Penginderaan Jauh, Fak. Geografi",MOOC ini dibuat untuk mendukung perkuliahan daring bagi mahasiswa S2 Penginderaan Jauh Fakultas ...,Fakultas Geografi,
[PEKERTI 2026] Keperawatan Medikal Bedah (KMB) Lanjut III,Keperawatan Medikal Bedah Lanjut 3 merupakan mata kuliah wajib yang berfokus pada integrasi dan ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Matematika (Mathematics) - IUP,"Course contents: Real number systems: properties of real numbers, coordinate systems, relations ...",Fakultas Biologi,IUP Biology
Anatomi Tumbuhan,"Mata kuliah ini mempelajari struktur mikroskopis sel, jaringan, dan organ tumbuhan Angiospermae ...",Fakultas Biologi,Program Sarjana Biologi
Paleontologi Reguler,"Matakuliah ini mempelajari beberapa disiplin ilmu, seperti geologi, anatomi hewan dan
manusia, ...",Fakultas Biologi,Program Sarjana Biologi
Bahasa Bali S1 FAKULTAS ILMU BUDAYA,Mata kuliah Bahasa Bali merupakan mata kuliah pilihan di Prodi Sastra Jawa Fakultas Ilmu Budaya ...,Fakultas Ilmu Budaya,
Introduction to Cellular and Molecular Biotechnology - PEKERTI 2026,"This course introduces the fundamental principles of
cellular and molecular biotechnology with ...",Fakultas Kedokteran Hewan,
Strategi Mitigasi dan Adaptasi Perubahan Iklim,"Modul
terbuka daring kredensial mikro “Strategi Mitigasi dan Adaptasi Perubahan
Iklim” adalah ...",Fakultas Kehutanan,
Praktikum Algoritma dan Struktur Data CSB,"●This course serves as a complement to the Algorithm and Data Structures course, with a primary ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,
Agama dan Budaya FIR 4401,"Mata K uliah A gama
dan B udaya
merupakan salah satu mata kuliah dalam fokus studi religi dan ...",Fakultas Filsafat,
Praktikum Algoritma dan Struktur Data KOM C,"●This course serves as a complement to the Algorithm and Data Structures course, with a primary ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,
Analisis masalah,"Modul ini membahas konsep, metode, dan teknik dalam mengidentifikasi potensi permasalahan pada ...",Fakultas Teknik,
Ilmu Sosial Perilaku Farmasi 2026,"Ilmu Sosial dan Perilaku Farmasi membicarakan pokok bahasan mencakup konsep, metode, dan teori ...",Fakultas Farmasi,
ETIKA (FIF 201212,Matakuliah ini ditujukan pada mahasiswa minimal semester 2. Membahas mengenai pemeriksaan yang ...,Fakultas Filsafat,
Struktur dan Perkembangan Tumbuhan (5,"Matakuliah ini mempelajari teori dan konsep terkait dengan struktur dan perkembangan tumbuhan, ...",Fakultas Biologi,Program Sarjana Biologi
Kimia Minyak Atsiri,Mata kuliah Kimia Minyak Atsiri menjelaskan aspek-aspek minyak atsiri yang penting dan menarik ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Biologi Hutan A Gasal 2024/2025,Mata Kuliah Biologi Hutan (KTU22102) merupakan mata kuliah wajib mahasiswa Fakultas Kehutanan. ...,Fakultas Kehutanan,
Profil Sensoris - PEKERTI 2024,Mata kuliah Profil Sensoris memberikan pemahaman menyeluruh tentang karakteristik sensorik dan ...,Fakultas Teknologi Pertanian,
Praktikum Kultur Sel In Vitro Hewan (1,Praktikum Kultur Sel In Vitro Hewan (BIMB202241) Laboratorium Fisiologi Hewan Fakultas Biologi ...,Fakultas Biologi,Program Magister Biologi
Civil Procedural Law,"This course offers topics that relate with
disputes that may arise in people’ daily life. Law ...",Fakultas Hukum,International Undergraduate Program
Sistematika Hewan Reguler,"Animal
Systematics is a compulsory course on animal diversity, especially in
Indonesia. This ...",Fakultas Biologi,Program Sarjana Biologi
"Bedah Periodontal Rekonstruksi, Plastik & Estetik","course ini berisikan materi Bedah Periodontal Rekonstruksi, Plastik & Estetik yang diampu oleh ...",Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia
Jaringan Komputer 1 - TRI BB - 2025,"Kuliah Jaringan Komputer 1 - Angkatan 2025 kelas BB Program Studi Teknologi Rekayasa Internet, ...",Sekolah Vokasi,Sekolah Vokasi
[PEKERTI 2026] Parasitologi Kedokteran,Kursus ini menyajikan materi edukasi medis mengenai berbagai jenis parasit penyebab gatal pada ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
PEKERTI (Pemeriksaan Okuloplasti,"Setelah mengikuti kursus ini, peseta dirapkan mampu melakukan pemeriksaan  kelopak mata secara ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
[Pekerti 2026] Keratitis Infeksius: Panduan Triase Diagnostik,Selamat datang pada kuliah Penyakit Mata Luar (Infeksi dan Imunologi) . Mata kuliah ini diampu ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Virologi (8,Virologi merupakan matakuliah pilihan Program Sarjana di Fakultas Biologi UGM yang mempelajari ...,Fakultas Biologi,Program Sarjana Biologi
Architecture and Technology Big Data,This course introduces the technologies and algorithms used to process and analyze large-scale ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Ekologi Bentanglahan,"Landscape ecology is best distinguished by its
focus on: 1) spatial heterogeneity, 2) broader ...",Fakultas Geografi,
Contract Law (IUP,This course is a combination of  knowledge on the theory of contract law and skill of contract ...,Fakultas Hukum,International Undergraduate Program
[PEKERTI] Aljabar Linear Elementer 2026,"Mata kuliah Aljabar Linear Elementer merupakan mata
kuliah wajib yang ditempuh oleh mahasiswa ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,
Architecture and Technology Big Data - ILKOM,This course introduces the technologies and algorithms used to process and analyze large-scale ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
English for Academic Purposes (Agriculture,English for Academic Purposes (EAP) course provides language instruction for academic study in ...,Fakultas Pertanian,
Bahan Pakan & Formulasi Ransum,Mata kuliah Bahan Pakan dan Formulasi Ransum (BPFR) merupakan mata kuliah wajib yang mendasari ...,Fakultas Peternakan,
Praktikum Statistika MPP41 2024/2025 Gasal,"Mata
kuliah ini merupakan aplikasi lanjut dari teori yang telah didapatkan pada mata
kuliah ...",Sekolah Vokasi,Sekolah Vokasi
Pengembangan Pusat Data (Data Center Developmet,Mata kuliah ini memberikan pengetahuan landscape Data Center pada infrastruktur menjadi fokus ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Dasar-Dasar Konservasi Sumber Daya Hutan Sem 1 2020,Matakuliah ini memberikan dasar pengetahuan tentang konservasi sumberdaya hutan yang mencakup ...,Fakultas Kehutanan,
Anatomi dan Identifikasi Kayu,"Mata kuliah yang berisi tentang struktur kayu, anatomi dan penggunaannya untuk identifikasi kayu.",Fakultas Kehutanan,
Pakan Fungsional,Mata kuliah ini membahas peran dan aplikasi pakan fungsional dalam meningkatkan kesehatan dan ...,Fakultas Peternakan,
Struktur dan Fungsi Serangga [ fisiologi serangga ],"Matakuliah ini mempelajari proses fisiologi dan pengelolaan biologi serangga, termasuk sistem ...",Fakultas Biologi,Program Sarjana Biologi
[GameHerbal] Training Bersertifikat via App - Official App.,Aplikasi Game Training BerSERTIFIKAT Latihan soal training bersertifikat yang dikemas menjadi ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Ekologi Perairan Gasal 2024/2025,Mata Kuliah Ekologi Perairan adalah mata kuliah pilihan untuk mahasiwa Fakultas Kehutanan UGM ...,Fakultas Kehutanan,
HAMA PENYAKIT HUTAN TROPIS,"Mata kuliah ""Hama dan Penyakit Hutan Tropis""  membahas konsep dasar tentang hama dan penyakit ...",Fakultas Kehutanan,
EGPP _ TPHP 212107,"Mata kuliah ini mempelajari tentang perubahan zat gizi (karbohidrat, lemak, protein, vitamin, ...",Fakultas Teknologi Pertanian,
Ekofisiologi Hewan (7,Ekofisiologi hewan merupakan mata kuliah yang menggabungkan fisiologi hewan dan ekologi. Mata ...,Fakultas Biologi,Program Sarjana Biologi
Struktur dan Produk Jaringan Sekretori Tumbuhan,"Struktur dan produk sekretori
tumbuhan merupakan mata kuliah yang mempelajari berbagai macam ...",Fakultas Biologi,Program Sarjana Biologi
[PEKERTI] Comprehensive Assesment and Diagnostic Tool in Glaucoma,Kelas ini mengajarkan penggunaan beberapa modalitas untuk pemeriksaan glaukoma. Beberapa yang ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Praktikum Imunobiologi (8,"Praktikum Imunobiologi (BISB211528) bertujuan meningkatkan
pemahaman praktik mahasiswa dalam ...",Fakultas Biologi,Program Sarjana Biologi
Basis Data - Manajemen Informasi Kesehatan,Learning Management System untuk mendukung Mata Kuliah Basis Data di Program Studi Manajemen ...,Sekolah Vokasi,Sekolah Vokasi
Praktikum Imunologi Seluler dan Molekuler (0,Praktikum Imunologi Seluler dan Molekuler (BIMB202110) Laboratorium Fisiologi Hewan Fakultas ...,Fakultas Biologi,Program Magister Biologi
Kimia Farmasi Dasar 2026,Mata Kuliah Kimia Farmasi Dasar : berisi bahasan tentang teori dasar Ilmu Kimia Farmasi yang ...,Fakultas Farmasi,
Animal Systematics IUP,"Animal Systematics is a compulsory course on animal diversity, especially in Indonesia. This ...",Fakultas Biologi,IUP Biology
Herpetologi,"Herpetologi mempelajari tentang hewan-hewan yang termasuk dalam Kelas Amphibia dan
Reptilia ...",Fakultas Biologi,Program Sarjana Biologi
Kuliah Endokrinologi (9,"Mata kuliah ini mempelajari sejarah singkat endokrinologi, metode endokrinologi, klasifikasi ...",Fakultas Biologi,Program Sarjana Biologi
Biosistematika Hewan,"Mata Kuliah ini mempelajari tentang sejarah
biosistematik hewan, perkembangan biosistematik ...",Fakultas Biologi,Program Magister Biologi
Blok Mental Health TA 2025-2026,Blok mental health adalah blok pertama yang diberikan pada mahasiswa semester keempat (tahun ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Antropologi Teknologi,"Kuliah ini didisain untuk memberikan gambaran
tentang hubungan antara fenomena perkembangan ...",Fakultas Ilmu Budaya,
Arkeologi Industri,"Pengetahuan tentang ragam tinggalan industri di
Indonesia dalam kajian arkeologis, meliputi ...",Fakultas Ilmu Budaya,
5 Statistika Geospasial,"Mata kuliah Statistika Geospasial (GEKP222125), Program Studi S1 Kartografi dan Penginderaan ...",Fakultas Geografi,
GEO 3001 Kewirausahaan,"Mata
kuliah ini akan mengajarkan kepada mahasiswa dasar-dasar kewirausahaan dan
memberikan ...",Fakultas Geografi,
PEKERTI - PATOLOGI KLINIK VETERINER,Mata kuliah ini diselenggarakan untuk membekali mahasiswa dengan materi Hematologi dan Kimia ...,Fakultas Kedokteran Hewan,
Praktik IoT,"Praktik pembuatan IoT mempelajari
tentang ketrampilan untuk memahami konsep kesisteman IoT, ...",Sekolah Vokasi,Sekolah Vokasi
Biologi Sel dan Molekuler (BSM) Magister,"Matakuliah ini menjelaskan tentang evolusi sel, konsep dasar sel, baik sel prokariota maupun ...",Fakultas Biologi,Program Magister Biologi
Agama Islam Kontekstual,"Mata Kuliah Agama
Islam Kontekstual adalah mata kuliah wajib kategori Mata
Kuliah Perilaku ...",Fakultas Filsafat,
Bahasa Arab Amiyyah اللهجة العامية,هل ترغب في اكتشاف أسرار اللغة العربية واللهجات السعودية؟ تقدم لك هذه المادة فرصة فريدة لتعلم ...,Sekolah Vokasi,Sekolah Vokasi
Ushul Fiqh,"Curious how Islamic law is understood, explained, and applied? Join Usul Fiqh to explore the ...",Sekolah Vokasi,Sekolah Vokasi
Geohidrologi,"Mata Kuliah Geohidrologi (GEL
2206) adalah mata kuliah lanjutan dari hidrologi dasar. Mata ...",Fakultas Geografi,
Ekonomi Pembangunan Pedesaan,"Deskripsi Mata Kuliah : Tujuan dari mata kuliah ini adalah untuk mendiskusikan
teori-teori ...",Fakultas Peternakan,
PIONIR KESATRIA 2026,Selamat datang Para Kesatria Muda ! Kami sangat senang menyambut kalian sebagai bagian dari ...,Fakultas Teknik,
FISIOLOGI TUMBUHAN,"Fisiologi Tumbuhan merupakan mata kuliah yang
diwajibkan bagi mahasiswa Fakultas Pertanian ...",Fakultas Pertanian,
Filsafat Barat Pra,"Mata
kuliah ini  memberi dasar bagi mahasiswa
Fakultas Filsafat untuk mengenal para tokoh ...",Fakultas Filsafat,
Penyakit Vitreoretina,"Mata
kuliah/topik ini membekali mahasiswa pengetahuan dan keterampilan klinis dasar
untuk ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Praktikum Endokrinologi (9,Praktikum Endokrinogi (BISB211529) bertujuan meningkatkan pemahaman praktik mahasiswa dalam ...,Fakultas Biologi,Program Sarjana Biologi
Penerapan Geographic Information Systems (GIS) dalam Investigasi Epidemiologi Veteriner - Pekerti 2026,Mata kuliah ini memperkenalkan prinsip dan aplikasi epidemiologi veteriner serta penggunaan ...,Fakultas Kedokteran Hewan,
Keuangan Syariah,"Mata kuliah Keuangan Syariah merupakan mata kuliah
pilihan konsentrasi bagi mahasiswa yang ...",Sekolah Pascasarjana,Sekolah Pascasarjana
GEL 3107 Manajemen Bencana TA 2022/2023,Kuliah Manajemen Bencana merupakan salah satu kuliah yang muncul akibat perkembangan isu di ...,Fakultas Geografi,
Biometrika Sumberdaya Hutan,Kelas virtual mata kuliah Biometrika SDH - Kelas D ini dimaksudkan untuk memberikan peluang ...,Fakultas Kehutanan,
Praktikum TTCK Genap 2024/2025 4,Praktikum Teknik Tata Cara Kerja merupakan praktikum wajib dimana praktikan dapat melakukan ...,Fakultas Teknologi Pertanian,
Praktikum Fisiologi Hewan S1 (3,Fisiologi hewan merupakan cabang ilmu biologi yang sangat penting dalam mempelajari fungsi ...,Fakultas Biologi,Program Sarjana Biologi
Kuliah Fisiologi Hewan (3,Fisiologi hewan merupakan cabang ilmu biologi yang sangat penting dalam mempelajari fungsi ...,Fakultas Biologi,Program Sarjana Biologi
Praktikum Dasar Komunikasi Bisnis dan Inovasi 2026,Tujuan dilakukannya praktikum Dasar Komunikasi Bisnis dan Inovasi adalah untuk : Mahasiswa ...,Fakultas Peternakan,
Evolution IUP (1,"This course is
learning about changes in heritable characters in a biological population. ...",Fakultas Biologi,IUP Biology
Pekerti - Reproduksi Hewan 101,"Mata kuliah ini mempelajari tentang dasar-dasar reproduksi hewan secara umum, dimulai dari ...",Fakultas Kedokteran Hewan,
FEMINISME,"Mata kuliah
ini merupakan salah satu matakuliah pilihan dalam Fokus Studi Filsafat Sosial ...",Fakultas Filsafat,
Bridging Course,Bridging Course ini bertujuan untuk menyiapkan peserta agar siap belajar sebagai mahasiswa ...,Fakultas Psikologi,Continuing Education Program (CEP)
Pengelolaan Limbah B3 2025 copy 1,Pengelolaan limbah B3 adalah salah satu mata kuliah minat kimia lingkungan. Mahasiswa akan ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
2023-2024 Genap Ekosistem Pertanian,Mata kuliah Ekosistem Pertanian merupakan mata kuliah wajib bagi mahasiswa Pertanian tahun ...,Fakultas Pertanian,
Banking Technology and Financial Services,"Welcome to the exciting
world of Fintech! In this course, we’ll explore how technology is ...",Sekolah Vokasi,Sekolah Vokasi
Pengelolaan Limbah B3 2026,Pengelolaan limbah B3 adalah salah satu mata kuliah minat kimia lingkungan. Mahasiswa akan ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Sejarah Pemikiran,Deskripsi Matakuliah Mata kuliah Sejarah Pemikiran Tujuan Pembelajaran 1. Mengetahui 2. Mampu,Sekolah Pascasarjana,Sekolah Pascasarjana
