Jenjang;fakultas/sekolah;prodi;nama_mk;semester;deskripsi_mk;sumber_deskripsi;status_kepmen;kriteria_kepmen_match;keyword_match
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Isu dan Penelitian Akuntansi Sketor Publik;Konsentrasi/Pilihan;Mempelajari isu dan riset akuntansi sektor publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Tata kelola dan Akuntabilitas Sektor Publik;Konsentrasi/Pilihan;Mempelajari tata kelola, transparansi, dan akuntabilitas organisasi publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Sains Data;Konsentrasi/Pilihan;Mempelajari sains data: pengolahan, visualisasi, dan pembelajaran mesin.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Seminar Sistem Kecerdasan Buatan;Konsentrasi/Pilihan;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Keberlanjutan dalam Pengauditan dan Keuangan;Konsentrasi/Pilihan;Mempelajari akuntansi dan pelaporan keberlanjutan (sustainability reporting): pengungkapan kinerja lingkungan, sosial, dan tata kelola (ESG), standar GRI/ISSB, akuntansi emisi karbon terkait perubahan iklim, serta asurans laporan keberlanjutan.;Kurasi manual;Substansial – dihitung;a, b;keberlanjutan, sustainability, esg, perubahan iklim, emisi
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Isu Kontemporer dan Penelitian Sistem Informasi, Risiko, dan Pengendalian;Konsentrasi/Pilihan;Mempelajari riset sistem informasi akuntansi, manajemen risiko, dan pengendalian internal.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Isu Kontemporer dan Penelitian Etika dan Tata Kelola;Konsentrasi/Pilihan;Mempelajari riset etika bisnis dan tata kelola perusahaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Isu Kontemporer Keuangan dan Penganggaran Publik;Konsentrasi/Pilihan;Mempelajari isu kontemporer keuangan dan penganggaran publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Transformasi Digital untuk Organisasi Privat dan Publik;Konsentrasi/Pilihan;Mempelajari transformasi digital organisasi swasta dan publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Pembangunan III;Konsentrasi/Elektif;Mempelajari teori pertumbuhan dan pembangunan ekonomi, kemiskinan, ketimpangan, industrialisasi, dan peran kebijakan dalam pembangunan negara berkembang.;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Pembangunan IV;Konsentrasi/Elektif;Mempelajari teori pertumbuhan dan pembangunan ekonomi, kemiskinan, ketimpangan, industrialisasi, dan peran kebijakan dalam pembangunan negara berkembang.;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Kemiskinan;Konsentrasi/Elektif;Mempelajari pengukuran kemiskinan, determinan, dan kebijakan pengentasan kemiskinan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Lingkungan;Konsentrasi/Elektif;Mempelajari analisis ekonomi pengelolaan sumber daya alam dan lingkungan: eksternalitas, valuasi ekonomi lingkungan, instrumen kebijakan (pajak karbon, perdagangan emisi), dan ekonomi perubahan iklim untuk pembangunan berkelanjutan.;Kurasi manual;Substansial – dihitung;a, b, i;pembangunan berkelanjutan, perubahan iklim, emisi, pajak karbon, pengelolaan sumber daya alam
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Kesehatan;Konsentrasi/Elektif;Mempelajari ekonomi kesehatan: permintaan-penawaran layanan, asuransi, dan pembiayaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Evaluasi Dampak Kebijakan Publik;Konsentrasi/Elektif;Mempelajari metode evaluasi dampak kebijakan publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Perdagangan Internasional;Konsentrasi/Elektif;Mempelajari teori dan kebijakan perdagangan internasional: keunggulan komparatif, tarif, dan perjanjian dagang.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Publik III;Konsentrasi/Elektif;Mempelajari ekonomika sektor publik: barang publik, perpajakan, dan belanja pemerintah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Publik IV;Konsentrasi/Elektif;Mempelajari ekonomika sektor publik: barang publik, perpajakan, dan belanja pemerintah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Ekonomi (M.Sc.);Ekonomika Regional II;Konsentrasi/Elektif;Mempelajari ekonomi regional: pertumbuhan dan ketimpangan antarwilayah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Akuntansi (M.Acc.);Akuntansi Publik;Konsentrasi;Mempelajari akuntansi sektor publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Akuntansi (M.Acc.);Manajemen Sistem Informasi;Konsentrasi;Mempelajari manajemen sistem informasi organisasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Akuntansi (M.Acc.);Audit;Konsentrasi;Mempelajari standar dan prosedur audit.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Business Ethics for Sustainability;Semester 1;Mempelajari etika bisnis dan tanggung jawab perusahaan terhadap lingkungan dan masyarakat: ESG, pelaporan keberlanjutan, greenwashing, serta strategi bisnis untuk pembangunan berkelanjutan.;Kurasi manual;Substansial – dihitung;a;pembangunan berkelanjutan, keberlanjutan, esg
S2;FEB;Magister Manajemen (M.B.A.);Operations and Technology Management;Semester 1;Mempelajari manajemen operasi dan teknologi: proses, kapasitas, mutu, dan rantai pasok.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);General Business Environment;Semester 2;"Mempelajari lingkungan bisnis umum (ekonomi, politik, hukum, teknologi, sosial-budaya) dan pengaruhnya terhadap strategi perusahaan. ""Environment"" di sini berarti lingkungan bisnis.";Kurasi manual;Tidak terkait (nama mirip keyword);;
S2;FEB;Magister Manajemen (M.B.A.);Research Method;Semester 2;Mempelajari metode penelitian bisnis.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Publication;Semester 3;Penulisan dan pengiriman artikel ilmiah untuk publikasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Financial Risk Management;Konsentrasi;Mempelajari identifikasi, pengukuran (VaR), dan lindung nilai risiko keuangan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Leadership and Innovation;Konsentrasi;Mempelajari kepemimpinan dalam mendorong inovasi organisasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Business Creativity and Innovation;Konsentrasi;Mempelajari kreativitas bisnis dan manajemen inovasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Strategic and Sustainable Operations Management;Konsentrasi;Mempelajari manajemen operasi berkelanjutan: rantai pasok hijau, efisiensi sumber daya, pengelolaan limbah produksi, dan ekonomi sirkular.;Kurasi manual;Substansial – dihitung;a, d, e;berkelanjutan, pengelolaan limbah, ekonomi sirkular
S2;FEB;Magister Manajemen (M.B.A.);Sustainability Leadership;Konsentrasi;Mempelajari kompetensi dan kepemimpinan untuk keberlanjutan: berpikir sistem, isu perubahan iklim dan keanekaragaman hayati, serta penerapan pembangunan berkelanjutan di organisasi.;Kurasi manual;Substansial – dihitung;a, b, g;pembangunan berkelanjutan, keberlanjutan, perubahan iklim, keanekaragaman hayati
S2;FEB;Magister Manajemen (M.B.A.);Environmental Impact Assessment;Konsentrasi;Mempelajari prosedur dan metode Analisis Mengenai Dampak Lingkungan (AMDAL), UKL-UPL, dan audit lingkungan: pelingkupan, prakiraan dampak, rencana pengelolaan dan pemantauan, sebagai instrumen konservasi lingkungan dan pembangunan berkelanjutan.;Kurasi manual;Substansial – dihitung;a, f;pembangunan berkelanjutan, konservasi lingkungan
S2;FEB;Magister Manajemen (M.B.A.);Technology and Innovation Management for Sustainability;Konsentrasi;Mempelajari pengelolaan teknologi dan inovasi untuk keberlanjutan: eco-innovation, teknologi bersih, dan model bisnis ekonomi sirkular.;Kurasi manual;Substansial – dihitung;a, e;keberlanjutan, ekonomi sirkular
S2;FEB;Magister Manajemen (M.B.A.);ESG Investment and Reporting;Konsentrasi;Mempelajari investasi berkelanjutan dan pelaporan ESG: kriteria lingkungan-sosial-tata kelola, risiko keuangan terkait perubahan iklim (TCFD), dan pengungkapan keberlanjutan perusahaan.;Kurasi manual;Substansial – dihitung;a, b;berkelanjutan, keberlanjutan, esg, perubahan iklim
S2;FEB;Magister Manajemen (M.B.A.);Research Methods for Sustainable Development;Konsentrasi;Mempelajari konsep, sejarah, dan indikator pembangunan berkelanjutan (SDGs): keseimbangan dimensi ekonomi, sosial, dan lingkungan, serta penerapannya dalam kebijakan dan pembangunan wilayah.;Kurasi manual;Substansial – dihitung;a;pembangunan berkelanjutan, sdgs
S2;FEB;Magister Manajemen (M.B.A.);Railway Risk, Safety and Sustainable Management;Konsentrasi;Mempelajari perencanaan transportasi berkelanjutan: angkutan umum massal, mobilitas aktif, pengurangan emisi transportasi, dan dampaknya terhadap perubahan iklim.;Kurasi manual;Substansial – dihitung;a, b;berkelanjutan, perubahan iklim, emisi
S2;FEB;Magister Manajemen (M.B.A.);Big Data Analytics in Transportation;Konsentrasi;Mempelajari analitik big data transportasi: data GPS, tiket elektronik, dan pemodelan pergerakan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Public-Private Partnerships;Konsentrasi;Mempelajari skema kerja sama pemerintah-badan usaha (KPBU): struktur, risiko, dan kontrak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Manajemen (M.B.A.);Risk Management in Infrastructure Projects;Konsentrasi;Mempelajari manajemen risiko proyek infrastruktur: identifikasi, alokasi, dan mitigasi risiko.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Perencanaan Pembangunan dan Penganggaran;Semester 1;Mempelajari sinkronisasi perencanaan pembangunan dengan penganggaran pemerintah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Evaluasi Dampak Kebijakan Publik;Semester 2;Mempelajari metode evaluasi dampak kebijakan publik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Pendanaan Pembangunan;Semester 2;Mempelajari sumber pendanaan pembangunan: APBN/APBD, pinjaman, obligasi daerah, KPBU, dan dana transfer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Ekonomika Kemiskinan;Semester 1;Mempelajari pengukuran kemiskinan, determinan, dan kebijakan pengentasan kemiskinan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Ekonomika Kesehatan / Ekonomika Pendidikan / Ekonomika Ketenagakerjaan / Ekonomika Lingkungan;Semester 2;"Mata kuliah pilihan yang topiknya dipilih salah satu dari ekonomika kesehatan, pendidikan, ketenagakerjaan, atau lingkungan; hanya dihitung bila kelas yang dibuka adalah Ekonomika Lingkungan (cek RPS).";Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Manajemen Aset Daerah;Semester 1;Mempelajari pengelolaan barang milik daerah: perencanaan, pemanfaatan, pemeliharaan, dan penghapusan aset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Ekonomika Publik;Semester 2;Mempelajari ekonomika sektor publik: barang publik, perpajakan, dan belanja pemerintah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Penilaian Aset Daerah;Semester 2;Mempelajari penilaian barang milik daerah untuk pelaporan dan pemanfaatan aset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Dasar-Dasar Analitika Data;Semester 1;Mempelajari dasar analitika data untuk ekonomi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Ekonomika Pembangunan;Semester 1;Mempelajari teori pertumbuhan dan pembangunan ekonomi, kemiskinan, ketimpangan, industrialisasi, dan peran kebijakan dalam pembangunan negara berkembang.;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Ekonomika Inovasi Digital;Semester 2;Mempelajari ekonomi inovasi dan ekonomi digital: platform, efek jaringan, dan kebijakan inovasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Ekonomika Pembangunan (M.Ec.Dev.);Inovasi Digital untuk Pembangunan Berkelanjutan;Semester 2;Mempelajari pemanfaatan teknologi digital (IoT, data, AI) untuk solusi pembangunan berkelanjutan dan pencapaian SDGs, misalnya pemantauan lingkungan dan efisiensi energi.;Kurasi manual;Substansial – dihitung;a, c;pembangunan berkelanjutan, sdgs, efisiensi energi
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Sustainability Leadership;Semester 2;Mempelajari kompetensi dan kepemimpinan untuk keberlanjutan: berpikir sistem, isu perubahan iklim dan keanekaragaman hayati, serta penerapan pembangunan berkelanjutan di organisasi.;Kurasi manual;Substansial – dihitung;a, b, g;pembangunan berkelanjutan, keberlanjutan, perubahan iklim, keanekaragaman hayati
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Environmental Impact Assessment;Semester 2;Mempelajari prosedur dan metode Analisis Mengenai Dampak Lingkungan (AMDAL), UKL-UPL, dan audit lingkungan: pelingkupan, prakiraan dampak, rencana pengelolaan dan pemantauan, sebagai instrumen konservasi lingkungan dan pembangunan berkelanjutan.;Kurasi manual;Substansial – dihitung;a, f;pembangunan berkelanjutan, konservasi lingkungan
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Technology and Innovation Management for Sustainability;Semester 2;Mempelajari pengelolaan teknologi dan inovasi untuk keberlanjutan: eco-innovation, teknologi bersih, dan model bisnis ekonomi sirkular.;Kurasi manual;Substansial – dihitung;a, e;keberlanjutan, ekonomi sirkular
S2;FEB;ASEAN Master in Sustainability Management (AMSM);ESG Investment and Reporting;Semester 2;Mempelajari investasi berkelanjutan dan pelaporan ESG: kriteria lingkungan-sosial-tata kelola, risiko keuangan terkait perubahan iklim (TCFD), dan pengungkapan keberlanjutan perusahaan.;Kurasi manual;Substansial – dihitung;a, b;berkelanjutan, keberlanjutan, esg, perubahan iklim
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Research Methods for Sustainable Development;Semester 2;Mempelajari konsep, sejarah, dan indikator pembangunan berkelanjutan (SDGs): keseimbangan dimensi ekonomi, sosial, dan lingkungan, serta penerapannya dalam kebijakan dan pembangunan wilayah.;Kurasi manual;Substansial – dihitung;a;pembangunan berkelanjutan, sdgs
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Marine and Coastal Management;Konsentrasi;Mempelajari pengelolaan wilayah pesisir dan laut terpadu: zonasi, kawasan konservasi perairan, rehabilitasi mangrove, dan adaptasi perubahan iklim di pesisir.;Kurasi manual;Substansial – dihitung;b, f;perubahan iklim, kawasan konservasi
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Energy Resources Management;Konsentrasi;Mempelajari perencanaan dan pengelolaan sistem energi: permintaan-pasokan, bauran energi, efisiensi, integrasi energi terbarukan, dan dampak emisi terhadap perubahan iklim.;Kurasi manual;Substansial – dihitung;b, c;perubahan iklim, emisi, energi terbarukan
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Urban Planning and Management;Konsentrasi;Mempelajari tata kelola dan perencanaan kota: kebijakan tata ruang, penyediaan infrastruktur dasar, ruang terbuka hijau, dan ketahanan kota terhadap perubahan iklim dalam kerangka pembangunan berkelanjutan.;Kurasi manual;Substansial – dihitung;a, b;pembangunan berkelanjutan, perubahan iklim
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Food Security and Sustainable Agriculture;Konsentrasi;Mempelajari konsep ketahanan pangan (ketersediaan, akses, pemanfaatan, stabilitas) dan pertanian berkelanjutan, termasuk dampak perubahan iklim dan pengelolaan sumber daya alam pertanian.;Kurasi manual;Substansial – dihitung;a, b, i, j;berkelanjutan, perubahan iklim, pengelolaan sumber daya alam, ketahanan pangan
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Climate Change Law and Greenhouse Gas Mitigation;Konsentrasi;Mempelajari rezim hukum perubahan iklim nasional dan internasional, mekanisme mitigasi emisi gas rumah kaca (NDC, perdagangan karbon), dan kebijakan adaptasi.;Kurasi manual;Substansial – dihitung;b;perubahan iklim, gas rumah kaca, emisi, perdagangan karbon
S2;FEB;ASEAN Master in Sustainability Management (AMSM);Forest and Conservation Management;Konsentrasi;Mempelajari pengelolaan kawasan konservasi dan hutan lindung: zonasi, perlindungan flora-fauna, rehabilitasi habitat, dan kebijakan konservasi untuk pelestarian keanekaragaman hayati.;Kurasi manual;Substansial – dihitung;f, g, h;kawasan konservasi, keanekaragaman hayati, rehabilitasi habitat
S3;FEB;Doktor Ilmu Akuntansi;Seminar Akuntansi II;Semester 1;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Metodologi Penelitian 1;Semester 1;Mempelajari filosofi dan desain penelitian, perumusan masalah dan hipotesis, teknik sampling dan pengumpulan data, analisis data, serta etika penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Seminar Riset Akuntansi Keperilakuan;Semester 1;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Filsafat Ilmu;Semester 1;Mempelajari hakikat ilmu pengetahuan: ontologi, epistemologi, aksiologi, metode ilmiah, dan etika keilmuan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Topik-Topik Kontemporer dalam Akuntansi;Semester 2;Mempelajari isu kontemporer dalam riset akuntansi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S3;FEB;Doktor Ilmu Akuntansi;Metodologi Penelitian 2;Semester 2;Mempelajari filosofi dan desain penelitian, perumusan masalah dan hipotesis, teknik sampling dan pengumpulan data, analisis data, serta etika penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Seminar Riset Sains Data;Semester 2;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Mata Kuliah Konsentrasi: Seminar Riset;Semester 2;Seminar riset sesuai konsentrasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S3;FEB;Doktor Ilmu Akuntansi;Analisis Data Multivariat II;Semester 3;Mempelajari analisis multivariat: regresi berganda, analisis faktor, SEM, dan klaster.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S3;FEB;Doktor Ilmu Akuntansi;Kajian dan Pemetaan Literatur (Independent Study bagian I);Semester 3;Mempelajari kajian literatur sistematis dan pemetaan riset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S3;FEB;Doktor Ilmu Akuntansi;Mata Kuliah Pilihan;Semester 3;Mata kuliah pilihan yang topiknya ditentukan program studi pada semester berjalan (cek RPS untuk isi spesifik).;Leksikon MK umum;Tidak terkait / bergantung topik;;
S3;FEB;Doktor Ilmu Akuntansi;Desain dan Hasil Riset (Independent Study bagian II);Semester 4;Mempelajari desain penelitian dan penyajian hasil riset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S3;FEB;Doktor Ilmu Akuntansi;Ujian Komprehensif;Semester 4;Ujian penguasaan materi keilmuan sebelum tahap riset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
